nelex_office,nelex_address
"Federal Ministry of Labour and Employment, Federal Secretariate, Phase I","Sheu Shagari Way, P.M.B 04, Garki, Abuja, Nigeria"
Federal Ministry of Labour and Employment,"16 Dilibe Street, Amudo Village, Awka, Anambra, Nigeria"
"Federal Ministry of Labour and Employment, No.5","Yakubu - Gowon Way, Kaduna State, Nigeria"
Federal Ministry of Labour and Employment,"Cardinal Olubunmi Okogie Road, Ikoyi, Lagos, P.M.B 12576, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, 2nd Floor","Okpanam Road, Asaba, Delta State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, Room 24","Bauchi, Bauchi State, Nigeria"
"Federal Ministry of Labour and Employment, 6th Floor, Federal Secretariat","Aba Road, Portharcourt, Rivers State, Nigeria"
"Federal Ministry of Labour and Employment, 25","Barracks Road, Calabar, Cross Rivers, Nigeria"
Federal Ministry of Labour and Employment,"Local Government Service Commission Premises, Jalingo, Taraba State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, 3rd Floor","Gashua Road, Damaturu, Yobe, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, 2nd Floor","P.M.B 7112, Sani Abacha Road, Dutse, Jigawa State, Nigeria"
"Federal Ministry of Labour and Employment, Off Yakubu Gowon Way, No. 5A","Yakubu Gowon Way, P.M.B 2327, Near NTA, GRA, Kaduna, Nigeria"
"Federal Ministry of Labour and Employment, After CTV 67","Hotoro Maiduguri Road, P.M.B. 3488, Kano, Nigeria"
"Federal Ministry of Labour and Employment, No. 1","Justice Moh`d Bello Road, GRA roundabout, P.M.B. 2060, Katsina, Nigeria"
Federal Ministry of Labour and Employment,"19 Murtala Moh`d Road, Tuun Wada, P.M.B. 1077, Birnin Kebbi, Nigeria"
"Federal Ministry of Labour and Employment, No. 7","Dendo Road, P.M.B. 2240, Sokoto, Nigeria"
"Federal Ministry of Labour and Employment, 3","FeYahaya Abdulkarim Road, Opp. Takin – Ruwa, Sabo-Gari, Gussau, Nigeria"
"Federal Ministry of Labour and Employment, Employment House","Aba Road Amuzuta Old Umuahia, P.O Box 7247, Umuahia, Nigeria"
Federal Ministry of Labour and Employment,"11b Ejiofor Street, P.M.B. 092, Abakaliki, Nigeria"
Federal Ministry of Labour and Employment,"22/24 Ridgeway GRA, P.M.B. 01520, Enugu, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, Ground Floor","Owerri, Imo State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat (Ground Floor)","Olusegun Obasanjo Way, Uyo, Akwa-Ibom State, Nigeria"
"Federal Ministry of Labour and Employment, off Imgbi Road","2 Asingbi Road, Amarab-Yenagoa, Bayelsa State, Nigeria"
"Federal Ministry of Labour and Employment, Second Floor, Federal Secretariat Complex","Okpanam Road, P.O. Box 1046, Asaba, Delta State, Nigeria"
"Federal Ministry of Labour and Employment, 2nd Floor, Federal Secretariat Complex, ","Ikpoba Slope, Benin / Auchi Expressway, Aduwawa, Benin City, Edo State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, 8th Floor","Aba Road, Port Harcourt, Rivers State, Nigeria"
Federal Ministry of Labour and Employment,"91, Ajilosun Street, P.M.B. 4333, Ado-Ekiti"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex, ","Oke Imosan, Kobape Road, P.M.B. 3048, Ibara, Abeokuta, Ogun State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex","Igba-toro Road, P.M.B 612, Akure, Ondo State, Nigeria"
"Federal Ministry of Labour and Employment, Old Governor`s Office, ","Gbongan-Ibadan Road, P.M.B. 4313, Oshogbo, Osun State, Nigeria"
"Federal Ministry of Labour and Employment, Federal Secretariat Complex","Ikolaba Area, P.O. Box 26115, Secretariat, Ibadan, Oyo Staate, Nigeria"
Industrial Arbitration Panel (IAP),"Plot 11, Lafia Close Area 8, Garki Abuja"
National Productivity Centre (NPC),"Plot 903, Obafemi Awolowo Way, Utako, Abuja Nigeria"
National Directorate of Employment (NDE),"Plot 1529 Nouakchott Street Zone 1, Wuse, P.M.B. 104, Abuja"
National Social Insurance Trust Fund (NSITF),"Plot 794, Muhammadu Buhari Way, Central Business Area, P.M.B. 446, Abuja"
Michael Imoudu National Institute for Labour Studies (MINILS),"Kilometer 7, Olunlade Village, Ajase-Ipo Road, Ilorin, PMB 1452 Ilorin"